Exercício: 2017
Período: 1o. bimestre
Escopo: Estados/DF
Anexo 01 - Balanço Orçamentário
Tabela: Receitas Orçamentárias
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";"siconfi-cor_ReceitasExcetoIntraOrcamentarias";24724144523,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITAS CORRENTES";"siconfi-cor_ReceitasCorrentes";23331999874,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITA TRIBUTÁRIA";"siconfi-cor_ReceitaTributaria";14653072737,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Impostos";"siconfi-cor_Impostos";13947549140,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Taxas";"siconfi-cor_Taxas";705523597,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITA DE CONTRIBUIÇÕES";"siconfi-cor_ReceitaDeContribuicoes";881055705,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Contribuições Sociais";"siconfi-cor_ContribuicoesSociais";881055705,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITA PATRIMONIAL";"siconfi-cor_ReceitaPatrimonial";886708023,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receitas Imobiliárias";"siconfi-cor_ReceitasImobiliarias";16995562,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receitas de Valores Mobiliários";"siconfi-cor_ReceitasDeValoresMobiliarios";850710179,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receita de Concessões e Permissões";"siconfi-cor_ReceitaDeConcessoesEPermissoes";11348960,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receita da Cessão de Direitos";"siconfi-cor_ReceitaDaCessaoDeDireitos";6552183,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";1101139,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITA AGROPECUÁRIA";"siconfi-cor_ReceitaAgropecuaria";1095733,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receita da Produção Vegetal";"siconfi-cor_ReceitaDaProducaoVegetal";660000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receita da Produção Animal e Derivados";"siconfi-cor_ReceitaDaProducaoAnimalEDerivados";435733,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITA INDUSTRIAL";"siconfi-cor_ReceitaIndustrial";3676899,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receita da Indústria de Transformação";"siconfi-cor_ReceitaDaIndustriaDeTransformacao";39399,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receita da Indústria de Construção";"siconfi-cor_ReceitaDaIndustriaDeConstrucao";3637500,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITA DE SERVIÇOS";"siconfi-cor_ReceitaDeServicos";722067211,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"TRANSFERÊNCIAS CORRENTES";"siconfi-cor_TransferenciasCorrentes";5463021631,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Transferências Intergovernamentais";"siconfi-cor_TransferenciasCorrentesIntergovernamentais";4772403858,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Transferências de Instituições Privadas";"siconfi-cor_TransferenciasCorrentesDeInstituicoesPrivadas";546033920,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Transferências de Pessoas";"siconfi-cor_TransferenciasCorrentesDePessoas";428552,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Transferências de Convênios";"siconfi-cor_TransferenciasCorrentesDeConvenios";144155301,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"OUTRAS RECEITAS CORRENTES";"siconfi-cor_OutrasReceitasCorrentes";721301935,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Multas e Juros de Mora";"siconfi-cor_MultasEJurosDeMora";202679584,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Indenizações e Restituições";"siconfi-cor_IndenizacoesERestituicoes";42682153,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receita da Dívida Ativa";"siconfi-cor_ReceitaDaDividaAtiva";45346760,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Receitas Correntes Diversas";"siconfi-cor_ReceitasCorrentesDiversas";430593438,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITAS DE CAPITAL";"siconfi-cor_ReceitasDeCapital";1392144649,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"OPERAÇÕES DE CRÉDITO";"siconfi-cor_ReceitasDeOperacoesDeCredito";1248932434,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Operações de Crédito Internas";"siconfi-cor_OperacoesDeCreditoInternas";983395595,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Operações de Crédito Externas";"siconfi-cor_OperacoesDeCreditoExternas";265536839,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"ALIENAÇÃO DE BENS";"siconfi-cor_AlienacaoDeBens";49765221,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Alienação de Bens Móveis";"siconfi-cor_AlienacaoDeBensMoveis";10640281,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Alienação de Bens Imóveis";"siconfi-cor_AlienacaoDeBensImoveis";39124940,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"AMORTIZAÇÕES DE EMPRÉSTIMOS";"siconfi-cor_AmortizacoesDeEmprestimos";12078000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"TRANSFERÊNCIAS DE CAPITAL";"siconfi-cor_TransferenciasDeCapital";51368994,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Transferências Intergovernamentais";"siconfi-cor_TransferenciasDeCapitalIntergovernamentais";9126941,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Transferências de Instituições Privadas";"siconfi-cor_TransferenciasDeCapitalDeInstituicoesPrivadas";85000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Transferências de Convênios";"siconfi-cor_TransferenciasDeCapitalDeConvenios";42157053,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"OUTRAS RECEITAS DE CAPITAL";"siconfi-cor_OutrasReceitasDeCapital";30000000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"Outras Receitas de Capital";"siconfi-cor_RREO1OutrasReceitasDeCapital";30000000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"RECEITAS (INTRA-ORÇAMENTÁRIAS) (II)";"siconfi-cor_ReceitasIntraOrcamentariasTotal";1349477477,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"SUBTOTAL DAS RECEITAS (III) = (I + II)";"siconfi-cor_SubtotalDasReceitas";26073622000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV)";"siconfi-cor_SubtotalReceitasComRefinanciamento";26073622000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO INICIAL";"TOTAL (VII) = (V + VI)";"siconfi-cor_TotalReceitas";26073622000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";"siconfi-cor_ReceitasExcetoIntraOrcamentarias";24724144523,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITAS CORRENTES";"siconfi-cor_ReceitasCorrentes";23331999874,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITA TRIBUTÁRIA";"siconfi-cor_ReceitaTributaria";14653072737,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Impostos";"siconfi-cor_Impostos";13947549140,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Taxas";"siconfi-cor_Taxas";705523597,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITA DE CONTRIBUIÇÕES";"siconfi-cor_ReceitaDeContribuicoes";881055705,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Contribuições Sociais";"siconfi-cor_ContribuicoesSociais";881055705,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITA PATRIMONIAL";"siconfi-cor_ReceitaPatrimonial";886708023,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receitas Imobiliárias";"siconfi-cor_ReceitasImobiliarias";16995562,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receitas de Valores Mobiliários";"siconfi-cor_ReceitasDeValoresMobiliarios";850710179,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receita de Concessões e Permissões";"siconfi-cor_ReceitaDeConcessoesEPermissoes";11348960,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receita da Cessão de Direitos";"siconfi-cor_ReceitaDaCessaoDeDireitos";6552183,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";1101139,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITA AGROPECUÁRIA";"siconfi-cor_ReceitaAgropecuaria";1095733,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receita da Produção Vegetal";"siconfi-cor_ReceitaDaProducaoVegetal";660000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receita da Produção Animal e Derivados";"siconfi-cor_ReceitaDaProducaoAnimalEDerivados";435733,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITA INDUSTRIAL";"siconfi-cor_ReceitaIndustrial";3676899,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receita da Indústria de Transformação";"siconfi-cor_ReceitaDaIndustriaDeTransformacao";39399,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receita da Indústria de Construção";"siconfi-cor_ReceitaDaIndustriaDeConstrucao";3637500,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITA DE SERVIÇOS";"siconfi-cor_ReceitaDeServicos";722067211,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"TRANSFERÊNCIAS CORRENTES";"siconfi-cor_TransferenciasCorrentes";5463021631,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Transferências Intergovernamentais";"siconfi-cor_TransferenciasCorrentesIntergovernamentais";4772403858,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Transferências de Instituições Privadas";"siconfi-cor_TransferenciasCorrentesDeInstituicoesPrivadas";546033920,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Transferências de Pessoas";"siconfi-cor_TransferenciasCorrentesDePessoas";428552,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Transferências de Convênios";"siconfi-cor_TransferenciasCorrentesDeConvenios";144155301,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"OUTRAS RECEITAS CORRENTES";"siconfi-cor_OutrasReceitasCorrentes";721301935,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Multas e Juros de Mora";"siconfi-cor_MultasEJurosDeMora";202679584,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Indenizações e Restituições";"siconfi-cor_IndenizacoesERestituicoes";42682153,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receita da Dívida Ativa";"siconfi-cor_ReceitaDaDividaAtiva";45346760,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Receitas Correntes Diversas";"siconfi-cor_ReceitasCorrentesDiversas";430593438,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITAS DE CAPITAL";"siconfi-cor_ReceitasDeCapital";1392144649,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"OPERAÇÕES DE CRÉDITO";"siconfi-cor_ReceitasDeOperacoesDeCredito";1248932434,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Operações de Crédito Internas";"siconfi-cor_OperacoesDeCreditoInternas";983395595,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Operações de Crédito Externas";"siconfi-cor_OperacoesDeCreditoExternas";265536839,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"ALIENAÇÃO DE BENS";"siconfi-cor_AlienacaoDeBens";49765221,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Alienação de Bens Móveis";"siconfi-cor_AlienacaoDeBensMoveis";10640281,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Alienação de Bens Imóveis";"siconfi-cor_AlienacaoDeBensImoveis";39124940,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"AMORTIZAÇÕES DE EMPRÉSTIMOS";"siconfi-cor_AmortizacoesDeEmprestimos";12078000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"TRANSFERÊNCIAS DE CAPITAL";"siconfi-cor_TransferenciasDeCapital";51368994,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Transferências Intergovernamentais";"siconfi-cor_TransferenciasDeCapitalIntergovernamentais";9126941,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Transferências de Instituições Privadas";"siconfi-cor_TransferenciasDeCapitalDeInstituicoesPrivadas";85000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Transferências de Convênios";"siconfi-cor_TransferenciasDeCapitalDeConvenios";42157053,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"OUTRAS RECEITAS DE CAPITAL";"siconfi-cor_OutrasReceitasDeCapital";30000000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Outras Receitas de Capital";"siconfi-cor_RREO1OutrasReceitasDeCapital";30000000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"RECEITAS (INTRA-ORÇAMENTÁRIAS) (II)";"siconfi-cor_ReceitasIntraOrcamentariasTotal";1349477477,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"SUBTOTAL DAS RECEITAS (III) = (I + II)";"siconfi-cor_SubtotalDasReceitas";26073622000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV)";"siconfi-cor_SubtotalReceitasComRefinanciamento";26073622000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"TOTAL (VII) = (V + VI)";"siconfi-cor_TotalReceitas";26073622000,00
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"SALDOS DE EXERCÍCIOS ANTERIORES";"siconfi-cor_SaldoDeExerciciosAnterioresUtilizadosParaCreditosAdicionais";1742744502,08
Governo do Estado de Santa Catarina;42;SC;6910553;"PREVISÃO ATUALIZADA (a)";"Superávit Financeiro Utilizado para Créditos Adicionais";"siconfi-cor_SuperavitFinanceiro";1742744502,08
